gene	t
NKX2-1	123.61261318190432
SFTA3	114.5813138890164
SFTPB	112.54712151317676
HNF1B	109.31231880042003
SFTA2	107.05398280828105
NKX2-1-AS1	87.76716575225672
NAPSA	87.47201309048558
SFTPA1	85.1617778539843
FOXA2	80.3026716702295
ROS1	79.30189291656367
HKDC1	78.47456675840081
TCF21	76.3813283183071
SLC22A31	75.84708139515301
SCEL	71.80749976053599
CTSE	71.70628752499304
RP11-896J10.3	70.99448850046547
SFTPA2	69.71342410435383
TBX4	68.84216025262701
TMEM92	65.06600092831553
C4BPA	64.42505677263865
LINC00261	64.27939184372704
SCGB3A2	64.04719353977436
TOR4A	62.05808303397654
SEL1L3	60.53921892932798
SLC26A9	59.280328935895945
FOXF1	59.080843580848224
GALNT12	58.721573091740744
SCTR	57.7762517275609
FZD5	57.515981778659885
SLC34A2	57.45821983607513
SFTPD	56.50477659202446
MUC21	56.353109339860815
MUC4	56.31606980348418
GGTLC1	56.182587628787886
BMP3	56.0756256447005
FENDRR	55.74822624143402
STK33	55.36253563296417
ATP11A	55.200320895127746
DAW1	55.18923027831867
SFTPC	55.16619182800525
SMIM6	55.14454455116856
LMO7	55.07263406037811
MALL	54.78805988447238
RP11-76C10.6	54.39866269275922
KRT16P2	54.28082447580493
EPHX3	53.36253743172283
ST6GALNAC1	53.11043957318109
LRRN4	52.635096594449486
SHH	52.546240785367715
MCTP2	52.39741309123413
HOPX	52.3209797636301
TREM1	51.57490020648071
RP11-259K15.2	51.55796066843981
MGC32805	51.439132603716
UPP1	51.049918649384516
B3GNT7	50.47177576494188
PDE4C	50.350213721850324
KRT16P1	50.27739350996933
TGM2	50.24700455916658
AMN	50.12336605189589
AMY1C	49.80663761226852
ICAM4	49.669959520234855
COL6A5	49.65782574852424
DMBT1	49.56416441270153
HSD17B11	49.50725473290228
RP11-76C10.5	49.504942822198636
APOH	49.310926226105025
CCNJL	49.28291997903523
SGPP2	49.09363154812383
DPCR1	49.01484966344815
GCNT3	48.74211717748982
SEC14L4	48.696319141670806
MBIP	48.576827957107234
SFTA1P	48.53588297426133
CDKL2	48.27735664659664
ALDH3B1	47.914043993211585
LONRF3	47.75899825854785
RP11-680F8.1	47.6169653289125
CHIA	47.59322191502603
LPCAT1	47.430657144795646
COL4A3	47.409930608922565
LYN	46.95985471142715
CXCL17	46.93435077444242
RNF145	46.932626160575225
CCL18	46.72618680065126
CHMP4BP1	46.6777171277954
C6ORF223	46.09235686513
SLCO4C1	46.03876684418273
CXCL3	46.02729745445016
AQP4	45.98673848240848
BCL2L15	45.708150202722926
CSF2	45.68468730015739
TMEM163	45.37377784361626
STK32A	45.15662705103097
DNAJB13	45.12039100829899
SCN9A	44.83512976759107
RP11-350J20.12	44.69319926579731
FGG	44.62465798388999
CASP10	44.57973192083736
ICAM1	44.554638055441885
CCL20	44.4900892517673
NDNF	44.47613937185059
LGSN	44.46543651891152
CXCL1	44.38823194936598
GAL3ST1	44.30755879517043
CTSC	44.29426152921151
ANKS6	44.19590481332329
TMEM180	44.08887628674487
KCNJ15	43.9400551605763
ACSL5	43.78051616007439
SLC4A4	43.62614651489551
PLS1	43.6152663061344
ICAM5	43.577592828545626
BMP2	43.53160395297581
LINC00239	43.49909163815674
KIFC3	43.47576133538118
SCGB1A1	43.38935956898682
COL4A4	43.368031821329794
CYP2C18	43.27951007798835
RHOF	43.23164735772918
FAM150A	43.19464665556175
