Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__Allograft Rejection,0.6982327444551183,2.557171337029688,0.0,0.0,0.0,128/195,15.10%,LYN;ICAM1;CCL13;CTSS;ACHE;IL7;C2;SOCS1;IFNAR2;LIF;PF4;IL4R;EGFR;NCF4;GZMB;PRF1;CD7;CD40;HLA-DMA;CD47;SRGN;BCAT1;FGR;CCND3;ST8SIA4;IL2RA;IL18;PRKCB;STAT4;HIF1A;LTB;ITGB2;HLA-DMB;HLA-DOB;TLR2;EREG;HLA-A;HLA-G;CFP;PTPN6;CD79A;IL6;IL18RAP;HLA-DRA;HLA-E;IL12RB1;CD74;CD4;IL15;IL2RG;SPI1;UBE2D1;HLA-DOA;IL27RA;IRF4;ZAP70;WAS;LCK;HCLS1;MAP4K1;CD80;PSMB10;CD1D;CD3D;IGSF6;TGFB1;CD247;ITK;CCL7;CD3G;NCR1;GZMA;CCL2;SIT1;CCL4;FAS;IFNG;LCP2;PTPRC;CD86;CD3E;B2M;FCGR2B;CXCR3;CD96;IFNGR1;TAPBP;TAP2;IL12A;CRTAM;CCR1;NOS2;TRAT1;CCR2;CCL22;IL1B;IRF8;CD2;PRKCG;ELANE;ITGAL;TIMP1;IL2RB;KLRD1;HLA-DQA1;TAP1;ELF4;IL12B;IL4;CD8A;FASLG;CD40LG;IRF7;CXCL13;CCL5;CCL11;BCL10;CAPG;CCL19;LY75;RPS9;TLR3;IFNGR2;BCL3;F2;IL13;CD8B;LY86
prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.6974852177103031,2.5531503467382244,0.0,0.0,0.0,121/199,14.28%,ROS1;FZD5;ICAM4;LYN;ICAM1;CCL20;SLC4A4;LAMP3;CXCL8;MARCO;SGMS2;CD55;ADORA2B;MET;TNFSF9;F3;PVR;GNA15;TNFSF15;OSMR;CCL24;AQP9;PTPRE;LIF;IRAK2;CSF3;IL4R;KCNA3;CXCL6;CD40;PLAUR;IL1A;IL15RA;AHR;NFKBIA;IL18;NAMPT;HIF1A;MEP1A;DCBLD2;IL7R;CCRL2;TLR2;EREG;IL1R1;SCARF1;HBEGF;MEFV;PROK2;PTGIR;CXCR6;IL6;HRH1;IL18RAP;CHST2;FPR1;CCL17;KCNMB2;IL15;C5AR1;TNFRSF1B;PTAFR;TNFRSF9;BEST1;LCK;OSM;GPR132;IL10RA;EDN1;CD69;SLAMF1;LDLR;CCL7;CSF3R;CYBB;GPR183;CCL2;IL18R1;SEMA4D;ATP2A2;SLC28A2;SRI;LCP2;CLEC5A;TAPBP;PIK3R5;NMUR1;IRF1;PTGER2;CCL22;IL1B;OLR1;CD14;ADM;EMP3;TIMP1;IL2RB;RGS1;CD48;IL12B;PTGER4;NMI;CDKN1A;CCR7;ADGRE1;RHOG;IRF7;SELL;CCL5;P2RX4;OPRK1;CD70;TLR3;GP1BA;GCH1;ABCA1;HPN;IFNGR2;ADRM1;MSR1;LTA
prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.6583347354955084,2.445876171022209,0.0,0.0,0.0,98/198,12.50%,UPP1;ICAM1;METTL7B;PTGS2;ST3GAL5;BANK1;CASP4;PLA2G4A;CD38;IL7;MVP;SOCS1;IFNAR2;IL4R;BATF2;CD40;HLA-DMA;NOD1;SOCS3;VAMP5;IDO1;PIM1;PELI1;CD274;IFI30;IL15RA;NFKBIA;ST8SIA4;ITGB7;NAMPT;STAT4;HIF1A;PFKP;HLA-A;HLA-G;LGALS3BP;PTPN6;IL18BP;ISG20;SLAMF7;IL6;FPR1;CASP8;CD74;IL15;CIITA;PSMB9;PTPN2;VAMP8;IRF4;P2RY14;PLSCR1;IL10RA;PSMB10;CFH;CD69;CSF2RB;CCL7;PSMB8;MX2;GZMA;CCL2;HLA-DRB1;IRF5;LYSMD2;TNFAIP3;SOD2;SRI;FAS;LCP2;CD86;PARP14;B2M;TAPBP;ZBP1;IRF1;HLA-B;IRF8;CASP1;PNP;TRIM21;XCL1;IL2RB;HLA-DQA1;TAP1;FCGR1A;GBP6;NLRC5;NMI;KLRK1;CDKN1A;PARP12;EPSTI1;PML;ARL4A;IRF7;CCL5;RBCK1
prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.639814913466139,2.3834534070708604,0.0,0.0,0.0,112/198,14.73%,CXCL3;CSF2;ICAM1;CCL20;CXCL1;BMP2;CXCL2;PTGS2;BTG3;DRAM1;LAMB3;ETS2;TNFSF9;SAT1;F3;PTPRE;CEBPD;BCL2A1;LIF;VEGFA;CFLAR;CLCF1;CXCL6;PHLDA2;PLAUR;SOCS3;IL1A;RNF19B;PER1;IL15RA;NFKBIA;BIRC3;IL18;NAMPT;IL7R;CCRL2;TLR2;HBEGF;IL6;F2RL1;CEBPB;SDC4;FUT4;SLC2A6;TRIP10;SERPINB8;MAP2K3;TNFRSF9;SGK1;FOSL1;B4GALT5;TNIP2;IL23A;CD80;SLC2A3;SPSB1;EDN1;MAFF;CD69;LDLR;PPP1R15A;MAP3K8;NFIL3;TNIP1;DUSP1;GPR183;ZC3H12A;CCL2;TNFAIP3;CCL4;SOD2;IER5;G0S2;NR4A3;IRF1;ZFP36;IL1B;OLR1;NFKBIE;EFNA1;PLEK;TRAF1;CD83;TIPARP;GADD45A;RELB;PNRC1;JUNB;NR4A1;TNFAIP8;TAP1;IL12B;PTGER4;KYNU;CDKN1A;SIK1;IRS2;MCL1;NFKB2;CCL5;PHLDA1;BCL6;GEM;FOS;KDM6B;GCH1;SQSTM1;ABCA1;IFNGR2;BCL3;EHD1;SMAD3
prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.7157571147107223,2.3713085118211703,0.0,0.0,0.0,55/87,14.08%,CXCL3;CSF2;CXCL1;TNFRSF21;CD38;OSMR;IL7;SOCS1;PF4;IL4R;IL10RB;IL1R2;CRLF2;SOCS3;PIM1;IL15RA;IL2RA;LTB;TLR2;IL1R1;IL6;IL12RB1;IL2RG;TNFRSF1B;PTPN2;CSF2RA;TNFRSF1A;TGFB1;CSF2RB;MAP3K8;CCL7;CSF3R;BAK1;TNFRSF12A;LTBR;IL18R1;FAS;IFNGR1;PIK3R5;IRF1;CCR1;IL1B;CD14;ACVRL1;HMOX1;REG1A;A2M;INHBE;ITGA4;LEPR;IL3RA;CXCL13;IL9R;TYK2;IFNGR2
prerank,MSigDB_Hallmark_2020__Estrogen Response Early,-0.6090553072797296,-2.338983563884387,0.0,0.0,0.0,94/196,12.42%,SLC39A6;MAPT;MYB;CELSR2;AR;STC2;PDZK1;SYNGR1;SLC9A3R1;FKBP4;GFRA1;NPY1R;KDM4B;PEX11A;SIAH2;ASB13;BCL2;GREB1;SEC14L2;PGR;ELOVL2;HR;CA12;ANXA9;MPPED2;XBP1;RET;SLC22A5;REEP1;ELOVL5;THSD4;ADCY1;FAM102A;FLNB;KAZN;TFAP2C;CXCL12;AMFR;DHRS2;KCNK15;SLC1A4;ISG20L2;TFF1;CALB2;CHPT1;IGF1R;TTC39A;TPD52L1;SCARB1;LRIG1;NRIP1;TPBG;FASN;TOB1;ARL3;ABAT;MED13L;IL17RB;SLC24A3;IL6ST;EGR3;MREG;PPIF;SLC19A2;TIAM1;RARA;ITPK1;PODXL;SYT12;MYBL1;FARP1;SLC16A1;KRT19;OLFM1;TMPRSS3;TGIF2;KRT15;DEPTOR;CANT1;HES1;BHLHE40;IGFBP4;RBBP8;INPP5F;UGCG;INHBB;GJA1;MYC;WFS1;TSKU;CBFA2T3;OLFML3;OVOL2;GLA
prerank,MSigDB_Hallmark_2020__Complement,0.5965002555719647,2.205911573748873,0.0,0.0,0.0,95/200,12.46%,LYN;CASP10;CXCL1;CTSC;LTA4H;CD55;CPM;CTSS;DPP4;DGKG;CASP4;PLA2G4A;F3;SERPINA1;CTSH;CR1;C2;CP;PCSK9;FDX1;HNF4A;FCN1;LGMN;C4BPB;MMP15;DUSP6;PLG;GZMB;GCA;S100A12;PLAUR;S100A9;CR2;SPOCK2;LGALS3;HPCAL4;PIM1;MMP12;CASP5;GNGT2;ADAM9;CDA;IL6;F5;C1QA;TFPI2;CEBPB;CTSD;GP9;PSMB9;L3MBTL4;SRC;C1QC;WAS;PLA2G7;LCK;MSRB1;CTSL;PLSCR1;MAFF;CTSB;CFH;ME1;APOC1;GZMA;TNFAIP3;LCP2;CASP9;FCER1G;PRSS3;PIK3R5;LIPA;IRF1;MT3;C3;OLR1;C9;CD46;DOCK4;PLEK;PIK3CG;CASP1;FYN;TIMP1;F10;SCG3;ITGAM;KYNU;HSPA5;APOBEC3G;RHOG;CD40LG;IRF7;CCL5;PPP2CB
prerank,MSigDB_Hallmark_2020__G2-M Checkpoint,-0.5730473025064057,-2.1851443433181803,0.0,0.0,0.0,114/190,19.22%,HOXC10;SLC38A1;BUB3;PDS5B;ODF2;UCK2;TLE3;TNPO2;STAG1;SAP30;RAD21;YTHDC1;SMARCC1;HNRNPU;CTCF;SYNCRIP;LIG3;SRSF1;CUL3;SS18;NUMA1;RPS6KA5;SMC2;RAD23B;CCNF;NOTCH2;CBX1;CASP8AP2;CENPF;GSPT1;SLC12A2;KIF22;GINS2;MCM3;CUL4A;CHAF1A;SMC1A;TRA2B;FANCC;ORC5;POLE;PRC1;KATNA1;CDKN1B;WRN;NCL;KIF20B;CENPE;MARCKS;ATRX;CDKN2C;KIF23;KIF11;G3BP1;NOLC1;SFPQ;CCNT1;BARD1;TRAIP;SUV39H1;CDC27;RBM14;MYC;KIF5B;KIF15;NEK2;PBK;CDC25A;RACGAP1;KPNA2;TTK;PRPF4B;NUP50;PLK4;MCM6;NUSAP1;CUL1;FBXO5;RBL1;STIL;PURA;BRCA2;STMN1;EXO1;POLQ;CCND1;MAD2L1;XPO1;MNAT1;ILF3;HMGN2;NUP98;TPX2;SLC7A1;ABL1;SNRPD1;TFDP1;EZH2;POLA2;KIF4A;LMNB1;DKC1;PRIM2;ESPL1;MCM2;NDC80;CDK1;PAFAH1B1;E2F2;PRMT5;RASAL2;CKS1B;MKI67;KPNB1
prerank,MSigDB_Hallmark_2020__E2F Targets,-0.5652571895301111,-2.159403919633188,0.0,0.0,0.0,113/195,20.86%,UBR7;RBBP7;NBN;PDS5B;CSE1L;STAG1;RAD21;RAD50;RPA1;CTCF;SYNCRIP;SMC3;SRSF1;RAD51C;UNG;WEE1;CCP110;GSPT1;KIF22;DCTPP1;PAICS;MLH1;ATAD2;CBX5;USP1;MCM4;RFC3;MCM3;SMC1A;HMGB2;RNASEH2A;TRA2B;PRKDC;POLE;LIG1;CDKN1B;PCNA;TUBB;SMC6;CENPE;NOP56;CDKN2C;RFC1;NOLC1;DSCC1;MSH2;SPC25;ZW10;BARD1;DUT;PPP1R8;SUV39H1;PMS2;TIPIN;MYC;EIF2S1;TP53;CDC25A;RACGAP1;KPNA2;NUP107;PA2G4;PLK4;MMS22L;MCM6;MTHFD2;DNMT1;NUP205;PPM1D;NUDT21;BRCA2;LUC7L3;STMN1;NUP153;MAD2L1;XPO1;TCF19;ILF3;GINS4;GINS3;BUB1B;POLD3;GINS1;ASF1B;EZH2;RFC2;WDR90;NAP1L1;POLA2;KIF4A;BRCA1;LMNB1;PRIM2;CDCA3;ESPL1;MCM2;DCLRE1B;CDK1;HELLS;CKS1B;MKI67;RAD51AP1;SPC24;TIMELESS;DIAPH3;NCAPD2;PSIP1;MELK;DONSON;CDKN3;POLD2;UBE2T;DEPDC1
prerank,MSigDB_Hallmark_2020__Myc Targets V1,-0.5634688156365752,-2.147195757055072,0.0,0.0,0.0,111/194,22.04%,BUB3;RRM1;NCBP1;SMARCC1;HNRNPU;SET;SYNCRIP;TCP1;SRSF1;EIF3J;IMPDH2;PWP1;RSL1D1;SNRPD3;RAD23B;NCBP2;GSPT1;TXNL4A;HNRNPC;PSMA2;COPS5;USP1;MCM4;CCT3;HNRNPR;GOT2;TRA2B;VDAC1;NHP2;CLNS1A;EIF1AX;RPL22;YWHAE;PCNA;HSP90AB1;SRSF3;NOP56;POLE3;GNL3;G3BP1;NOLC1;HNRNPA2B1;ETF1;HDAC2;HNRNPA1;NPM1;DUT;PSMD1;FBL;CCT4;CCT2;SSB;RFC4;MYC;CBX3;C1QBP;EIF2S1;SNRPB2;KPNA2;PA2G4;MCM6;RPL6;FAM120A;NDUFAB1;CUL1;VDAC3;RNPS1;RUVBL2;XPOT;CCT7;MAD2L1;SERBP1;RPL14;XPO1;EIF3D;TRIM28;DHX15;ABCE1;ILF2;CDK2;YWHAQ;PRDX3;SNRPD1;TFDP1;NAP1L1;MCM2;RPS2;PTGES3;HDDC2;ERH;HSPD1;SSBP1;SNRPD2;KPNB1;CAD;PSMD8;CNBP;APEX1;AP3S1;RPL34;GLO1;MRPL9;POLD2;UBE2L3;SNRPA;RPS6;UBA2;HNRNPA3;SF3B3;SLC25A3;EIF4H
