gene	t
SFTPB	62.30474826218475
B3GNT5	58.75493122443096
SOX2	56.88964477601518
SFTPA1	55.354997842171365
TCF21	55.317619984558505
UGT1A6	54.83460203110163
CYP2C18	53.804777248994824
MUC4	53.58676982800914
FGFBP1	53.400577868977976
NKX2-1	53.383806906432305
TBX4	53.32344308866979
KRT6A	52.50308312309341
SOX21	52.48482815344359
SOX21-AS1	52.391585463959956
ABCA13	52.30447039034458
AMN	52.286108309359506
FENDRR	52.11289279665751
GSTP1	51.81417774363818
PLA2G4E	51.53601336380637
STARD4	51.29106361525585
SERPINB3	51.19719898765558
FOXE1	51.13793928241475
KCNJ15	50.832951414533774
IGF2BP3	50.73983491789136
CYP2S1	50.670410703077096
FOXF1	50.64319875381587
DUOXA1	50.14962523311015
KRT16P2	49.503921869736885
TMPRSS4	49.288264590153844
ROS1	49.0772438645822
KRT16P1	48.80997996353078
FERMT1	48.728054755617016
KLF5	48.56905853800606
P2RY1	48.34082151371767
MCTP2	47.83076926031281
CXCL1	47.83062787528241
PCSK9	47.59645265381264
SCEL	47.35882945018732
ALDH3A1	47.119522300921254
CH17-360D5.2	46.888948087265064
IGF2BP2	46.813146807337326
SCGB3A2	46.67587501084787
DUOX2	46.665314932239475
FOXQ1	46.515279570869865
MPZL2	46.464010388237654
SERPINB13	46.397204450996576
HAS3	46.39546691983752
SPINK5	46.19067047739119
CASC9	46.18640213071548
SFN	45.913849093031224
WNT3A	45.709032127477556
SGPP2	45.62626483763606
SPRR1B	45.298201588774184
EGFL6	44.92843670630947
SPRR2D	44.86146556394637
KRT13	44.62429336878721
GDA	44.364953107329086
ADH7	44.30393107643747
RP11-776H12.1	44.115035874146734
FOXA2	44.10385791412762
CTSE	44.05683571479674
CXCL8	43.87737436124432
TMEM246	43.50449927662918
WDR72	43.473995020064535
SPRR2A	43.44042237711413
SFTPA2	43.4216475793852
HCAR2	43.41881060369616
UPP1	43.404523566380995
CTSC	43.345908479369434
GBP6	43.29618021975918
IL1A	42.786764866650785
CTB-11I22.2	42.36583242594478
SH3BP1	42.359960401036076
SFTA3	42.30904515786622
FAM135A	42.287319823781004
RP11-44F21.5	42.26895875667368
DUOX1	42.22896554868919
CAPNS2	42.10348313226266
SEC14L4	42.09963603917694
C12ORF56	42.02088574231241
HKDC1	41.983794265174005
LAMP3	41.85707067697192
PPP1R1C	41.8493522016813
AADACP1	41.827418639954466
CCL18	41.79898082555943
FAM57A	41.777722486400776
GJB6	41.73868615564946
SCGB1A1	41.69673693618532
EPHA2	41.54650167821214
RPS4Y1	41.47314912035608
GNA15	41.463565360541985
IL1RAP	41.34868784572779
KRT42P	41.32673611838554
RNF145	41.277521865194736
CLDN1	41.128109277620474
GJB3	41.12077106215523
ANKS6	40.99585242541968
GJB4	40.97106382536448
SFTPC	40.93625230277422
S100A2	40.93065517108944
CLDN16	40.91171334985015
SEL1L3	40.89599776902037
LINC00511	40.76935067286057
STK31	40.67889556246798
KREMEN1	40.64472547954716
LAMB3	40.509900543335725
GJB7	40.47090458060153
UGT1A1	40.39500862049349
AADAC	40.375216836977344
COL6A5	40.35112873225847
RP11-443P15.2	40.324550006957445
ACPP	40.289865532405614
BBOX1-AS1	40.28297745346883
CCL20	40.27787603950841
DUOXA2	40.26816939919116
SGK1	40.149657152291425
RP11-367G18.1	40.060923332980096
RP5-1056H1.2	40.04267898550165
ST6GALNAC1	40.033210664488344
E2F4	39.97359564002022
CSTA	39.943070334414735
POU6F2	39.897147261524346
RP5-884M6.1	39.84532998200988
MFHAS1	39.75059877113479
ETS2	39.70540564466462
RP11-397A16.1	39.567103063643216
PPP1R14C	39.50314697750869
CXCL6	39.392599035285976
LGI3	39.363207289462416
DDX3Y	39.26484208204321
MET	39.149663889761044
KCNMB2-AS1	39.14960400055527
SLCO1A2	39.134577416492114
IGSF11	38.964049519737905
MMP12	38.95581992533661
KDM5D	38.937571891816205
GPX2	38.905251248296985
STK33	38.86988325999835
ID1	38.86809464533198
NTF4	38.851292116367766
SLCO4C1	38.7053135706974
WNT7A	38.694470470848124
ADM	38.665297682282336
ATP1B3	38.662935341999756
ULBP2	38.61802133181526
KRT16P3	38.50203343177836
RP11-64C12.3	38.50067138912469
LINC01564	38.45921563740024
ARNTL2	38.44194840796958
C9ORF3	38.434329103120355
NAPSA	38.412126033413436
GABRA3	38.406246702876814
CH17-360D5.3	38.36665984846889
SLC26A9	38.333359025519606
WFDC5	38.30056805444061
C17ORF99	38.20144307222612
APOBEC3C	38.11676419743821
HCAR3	38.11261810732897
GALNT12	38.079667418693546
TMEM189	38.02256926351082
SERPINB4	37.98748127524501
ULBP3	37.943470818572905
CDH26	37.87143474505641
FOSL1	37.73853388755056
HHLA2	37.67193674056488
BNC1	37.59773177507192
YBX3	37.52880606322164
RP11-832A4.7	37.528130812690385
GPR87	37.515453401241544
LINC00491	37.49976569621274
FANCE	37.48679744509934
TMEM171	37.411098222523925
HSPB3	37.34691932217756
PTGS2	37.23499040859939
ARHGAP23	37.19575008858787
TXLNGY	37.1668264629789
S1PR5	36.97381629352447
DENND2C	36.94206360661848
ADGRF4	36.909373598584054
KRT74	36.87577490380448
USP9Y	36.85418549530594
TP63	36.8515925373721
ANKRD18B	36.84202356353957
TMPRSS11D	36.84180031364299
EIF1AY	36.811308180974756
CXCL3	36.78575410805541
FSCN1	36.77131125479395
SNAPC1	36.76633585261823
SH3GL3	36.69238687864618
BTG3	36.63939166176822
GS1-600G8.5	36.63257735692387
TGFA	36.617995735786614
C6ORF223	36.61380024703149
KC6	36.583540236032185
SCTR	36.577936597050254
PLS3	36.51361014091365
ZNF503-AS2	36.41003220004431
SLCO3A1	36.3854981983216
KRT6C	36.375323052932764
UPK1B	36.373463992698575
EFHD2	36.36035277054498
ICAM5	36.34866565570056
PI3	36.29888114913523
ATP12A	36.28607633590266
UTY	36.28326945560199
RP11-54H7.4	36.27035846889555
IVL	36.25811408512916
ZFY	36.23527605343135
RP11-27G14.4	36.211117856416905
ADORA2B	36.19828788266541
ZBED2	36.162523041035364
SLC22A31	36.15686984633995
NHSL1	36.135480374426855
UXS1	36.09171618130365
NDRG1	36.06698732449732
GCNT3	36.055291498596496
ALG1L	36.03289334324142
CTD-2008L17.2	36.02519697912222
CORO1C	35.969406365300244
PTPRZ1	35.9571763846615
PRKY	35.951784952721326
DMBT1	35.901667198315465
IL22RA1	35.87507988777873
C10ORF99	35.83743097465896
ENO1	35.7906866212892
LINC01451	35.727298040639134
ODC1	35.68875474576351
HMGA2	35.68850863165461
ANKUB1	35.68344994211379
PGLYRP3	35.67191545555911
BMP2	35.63617418269112
AC055736.3	35.60798675812288
IQCJ-SCHIP1	35.56678870386445
ERN2	35.540077572806844
AF064858.8	35.52934160268558
S100A12	35.525663552311684
ANXA8	35.51222700196415
HNRNPA1P33	35.457373054634964
WDR66	35.36848022353457
AC005537.2	35.35942459439225
DNAH3	35.350728748804435
KRT78	35.33619843865295
EFNB1	35.33516225464497
GJB5	35.31294226241175
ATP10B	35.23746682588971
EGFR	35.15349047953545
KCNMB2	35.15071702291057
ISL2	35.083726399040025
BMP3	35.05750352836894
FAM83C	35.05126781499309
SLC5A12	35.045426858121836
TBC1D2	35.03855956301067
ARHGEF4	35.013700812347025
C9ORF84	34.980915165405584
NDUFA4L2	34.95818177102193
RP11-276H19.2	34.952729382987094
RP4-738P11.3	34.88140019822207
ARL6IP6	34.79874607113309
KRTAP4-1	34.795433960213195
PSAT1	34.743714181863005
TMPRSS11A	34.69614935208061
AC098973.2	34.637772714686726
NKX2-8	34.61475976543083
SLC9A6	34.5194354333895
UGT1A4	34.50966960032806
IL20RB	34.498877190839096
AKR1B10	34.42160262033404
MCF2L2	34.37937933617158
SPRR2E	34.33518649085939
CERS3	34.32657648747002
CTD-2008L17.1	34.31010665489081
AKR1C1	34.30213182393798
CLDND1	34.22820802798387
LPAR3	34.148071370282366
TUBA1C	34.14744689080787
NKX2-1-AS1	34.14067111046891
LINC01503	34.11980510776017
SOX15	34.11067069748274
AC009264.1	34.093204846024996
HIF1A	34.07160057123313
IL36G	34.05364515261536
AIM1L	34.04055186986894
SDK1	34.03753111321288
RP11-1038A11.3	34.033614134676135
FABP5	33.957728180873445
SPRR3	33.95258030126043
IL36RN	33.922392804191
TTTY15	33.918460534457815
BAAT	33.89102433444562
NPL	33.88158824062086
RP11-161I6.2	33.845295361207704
MID1	33.79673737042766
GPRC5D	33.7921301489466
CNTN5	33.79063564821322
BX470102.3	33.789501151326256
IL1R2	33.77634913479901
XCL1	33.75030067603547
NLGN4Y	33.74389849129512
PLAG1	33.742618674406415
PPTC7	33.706550984362295
FEZF1	33.69273980203624
RP11-23D24.2	33.63171130685719
ACOT11	33.622001357598975
SOCS1	33.59226255142582
UPK3B	33.57108625943681
POU6F2-AS2	33.53911539069429
TFRC	33.51774183815347
SFTA2	33.50181532627145
LINC00261	33.49042832653179
AQP10	33.44906712119184
SLC16A3	33.419493403855476
RGS20	33.39336086418596
UGT1A3	33.369622499713046
FEZF1-AS1	33.334997464132805
C1ORF106	33.322913704130066
DLX6	33.27614935204072
GS1-120K12.4	33.25194651538644
SHH	33.21572909192094
PRSS12	33.16202274836454
LRP4	33.15629195260337
RP11-8L2.1	33.14483596684306
SLC15A2	33.095922617087936
RASSF9	33.06723604432344
NTS	33.023871303883375
GLTP	33.017811612246426
ICAM4	33.005842390384466
LUCAT1	32.99083173602817
RP11-486L19.2	32.969594824465716
EPHX3	32.96146035265841
PGLYRP4	32.92142125637622
CNGB3	32.91391015203512
SLC25A5P5	32.900614603712036
MTHFD1L	32.887827938678456
AC124789.1	32.88388328063813
SPRR1A	32.84446731824171
CPOX	32.823101610990555
CTD-2555C10.3	32.782169105422795
RP11-379B8.1	32.77054906686891
ATP11B	32.7486011854274
CMIP	32.74743273675555
DLX6-AS1	32.74163313447061
RP11-277P12.20	32.74112673913866
CTB-113P19.4	32.73529073458133
IFI16	32.72232941499748
LINC00958	32.71964667345482
RP4-594A5.1	32.71920790857699
RP11-416L21.2	32.718722372929996
CGB7	32.71537147017079
ELF4	32.675651639692994
PLS3-AS1	32.636474797385304
HOXA1	32.62053657855127
LAD1	32.614159792370735
PRICKLE3	32.54682979291772
AC018641.7	32.514962473988064
FEZ1	32.511164434588736
MECOM	32.49766971738641
AKR1C2	32.49112665960304
TMEM180	32.47981897630531
ARPC2	32.4745829233722
DGKA	32.44257904738354
ALOX12	32.42766562195015
TNIP3	32.40991111487069
PERP	32.40656748652187
TGM1	32.401344961826524
RAP2B	32.36125727164704
RP11-1103G16.1	32.32538917047958
PKP1	32.31856564111034
SLC16A10	32.318492509092266
C1ORF110	32.25458327637398
DERA	32.24610540071434
TRIM16	32.23334094352649
DAPL1	32.218962688237944
DGKG	32.19291614595377
ABCC4	32.171241556431355
ERO1L	32.15290993114147
LAMC2	32.14210955813136
IL31RA	32.1232500382423
CDHR1	32.055697243730805
PLEKHA1	32.02858972054168
C12ORF54	31.997805317853427
LINC00668	31.95442387401665
MIR210HG	31.91766407241305
TRPV4	31.897021862723143
SFTPD	31.885932815569767
RP11-108M12.3	31.88053204580146
S100A9	31.84784565610202
TMEM92	31.844175788922932
CCAT1	31.81127592098631
HNF1B	31.797993183103685
PLAGL2	31.77330830742196
HMSD	31.755288269043536
FAM89A	31.743432198127735
PLXNA1	31.729309687099654
PLTP	31.68860209126201
CSF2	31.669687578099015
SH2D5	31.652651911443687
FAM132B	31.64661655397417
AC007128.1	31.59670064552163
IMPA2	31.57137674464992
UGT1A10	31.569321887639376
FAM181A	31.54942662134541
CHRNB4	31.548346697819145
CFTR	31.538846336466396
MFSD2A	31.53746150770913
DLK2	31.52350671853174
CLDN18	31.474216933173043
PNPLA1	31.466373393444698
TNFRSF21	31.442813601230213
S100A8	31.439390431886064
RP4-668J24.2	31.42377921518225
LINC01460	31.38547086457915
BCL11A	31.36888891917608
CTD-2308L22.1	31.354971183547935
FOXF2	31.343588349157066
LHX5	31.343292589242942
CEACAM3	31.31773612879088
MAP2K1	31.302339144738195
AC069277.2	31.279253789000258
FABP5P7	31.246658496968106
CCL24	31.21406509585027
GSTA1	31.203954241391042
ZIC5	31.189396009386538
AF064858.6	31.1808228526246
ANXA8L1	31.178502185709227
TMPRSS11F	31.176896221127294
CHP2	31.175369032590737
AC010148.1	31.16188508485816
SLC11A1	31.152801248440372
ARL4D	31.150425996903753
BICD2	31.136486310430296
CLIP4	31.114862872866947
RP11-138J23.1	31.095690975379977
MCEMP1	31.066263065858134
PLCXD2	31.0604576852753
ACE2	31.036023474298037
PVRL1	31.03596437170377
HMGA1	31.033518927384172
ANKRD65	31.019669880939762
CTD-3006G17.2	31.000548129215275
CTD-2280E9.1	30.993284822000597
RP11-424G14.1	30.992985640458695
MED10	30.985615625250183
CTC-499J9.1	30.929607577969882
P3H2	30.885611883679626
SLC35G1	30.84732745648405
GNAI1	30.847050712827578
ABCC1	30.83682635965111
CTD-3010D24.3	30.82236178726365
RP4-660H19.1	30.820942794731245
COLCA2	30.813720791243597
C10ORF91	30.779559425819873
MAPK12	30.775391946142108
CHST7	30.763241998738273
MICALL1	30.73698747707152
PLAC8	30.736818268265033
CHRM3	30.72685564146823
PGAM1	30.716459911552608
LPCAT4	30.700377612054247
USB1	30.69652378130416
SCN9A	30.69541974564463
TNFSF9	30.694860419370123
DUSP7	30.655650002437074
PLD1	30.63510461939955
HTR2C	30.625535552971648
ADGRF1	30.541009633474964
LINC01589	30.487105538063087
BID	30.477424865910727
AKR1B1	30.471591907800402
SNX18P7	30.447373272035627
NPBWR1	30.440445015423784
FZD6	30.420199340299916
FZD5	30.384025503544674
ITLN2	30.372956145163407
DMRTA2	30.37176496983334
RP11-59D5__B.2	30.341127566563785
GABRE	30.33491572983274
TPI1P1	30.324963389822592
CAV2	30.322636705132457
PITPNM3	30.314214628749834
PDE4C	30.270971170546662
AC068831.16	30.26898899553259
ALDH1A1	30.245229267964586
SPRR2F	30.239427748503516
GNGT1	30.235185839347203
DHRS9	30.19779987297806
PFKP	30.183858277910698
RP11-174G6.1	30.183696933879045
SERPINB11	30.168983999498806
CSF3	30.11280256986598
TPI1	30.108327548695563
AC005682.5	30.10762476933639
LGALS7B	30.105284468058052
CYP24A1	30.073031002117492
DSG1-AS1	30.018392425028914
RP11-521D12.5	30.00227323315997
LINC01127	30.001260555111955
MALL	29.989191665074515
RP11-76C10.6	29.98891320360058
YEATS2	29.977292202822795
RP11-231D20.2	29.97401741224583
CHST2	29.945728959283898
LAMC3	29.93438320994598
TSLP	29.911627045163907
MARK1	29.905227987131685
B3GNT4	29.897401316295877
TRIM29	29.895425357376965
CNGB1	29.87821574754345
RIPK4	29.878102170199977
RP11-456O19.2	29.870262256055877
ANKRD20A10P	29.861362452403352
SLC2A1	29.822059708868704
TMPRSS11E	29.81288701258529
FABP6	29.81238449114136
CSTB	29.796607881238106
CLDN10	29.795189104298867
PAPL	29.786055443217027
KCNJ2-AS1	29.772044337258055
AC010127.3	29.73176201506844
USH1G	29.725526129469113
WFDC21P	29.709315915187254
AC128709.3	29.68866263652081
DAW1	29.685394613055045
PSMD10P2	29.643012431712666
CACNA2D3	29.615444785509798
EVPLL	29.608382995713292
CXCL5	29.605879857586327
S100A3	29.56397992521256
MCM5	29.536141083669076
C15ORF41	29.516600980370306
TMSB4Y	29.507829109633906
KRT4	29.503707608714617
CTD-2357A8.3	29.486021423752064
AC074286.1	29.473064991604925
KSR1	29.450213815326507
RP11-567G11.1	29.450008786877703
RP11-435O5.5	29.428312065373607
DEFB4A	29.424059135687454
IL1RN	29.409504605005644
PM20D2	29.39894502598682
AC010980.2	29.37237399085055
XXYLT1	29.36907496461419
SERPINB2	29.366752521273874
TRIM7	29.35455609769097
LRRC4	29.3534816017868
RAG1	29.35183435056096
CTC-436P18.3	29.27781128055119
CYP4F26P	29.277362816278437
CHAC2	29.264561178990842
FPR2	29.26240739312085
UBALD2	29.24547259545243
RXFP1	29.237884701629994
RP5-823G15.5	29.234447626571647
ANXA1	29.221477501110325
JOSD1	29.199459073011116
C4BPA	29.180552432527172
ADAM17	29.1803298387192
SLC2A12	29.18028571777894
HBEGF	29.17212790684993
ALDOC	29.15803447621275
ADGRG3	29.153668489149513
RP1-278O22.1	29.13316881234825
RP11-499F3.2	29.123386430192177
SPERT	29.106423213196695
PRNP	29.103875498391208
SH3PXD2A-AS1	29.088731414735683
CD38	29.069737670753245
DACT2	29.03271041600658
AC074289.1	29.010651894623827
CTD-2021H9.3	29.01014716884052
RP11-276H7.2	29.009776391338463
RRAS2	28.989835019606325
GRIN3B	28.976063234378515
PGAP1	28.92205820290071
AC011288.2	28.90666228863782
HAP1	28.8996278734358
NFE2L2	28.889358607423098
TTTY14	28.880539972383698
AC133785.1	28.879690175320437
COLCA1	28.872958450153114
KRT5	28.863194023282375
DNAJB3	28.836821571339343
BAIAP2L1	28.821659710848348
STOX2	28.820992575242812
RP4-595K12.2	28.818335968476134
COL7A1	28.79850443400825
SAT1	28.78386197764665
GPC1	28.78237988870396
SLCO1B3	28.769270599243605
GSDMC	28.756428723049787
GZMB	28.751673104720158
CA9	28.742620024588113
HOXD11	28.74039583762221
CHMP4BP1	28.718368923678046
ZNF503	28.712040030687657
SDCBP2	28.687181965068728
SOX2-OT	28.680825911771144
TMEM40	28.68012641994736
CFHR3	28.678489551810195
LINC01415	28.663983896199234
DNAH17-AS1	28.65406177505761
YBX1	28.6312823251615
RP4-669H2.1	28.615931552843502
EGFR-AS1	28.61304758549737
IFI27L2	28.600270750356128
RP11-524H19.2	28.57903202980918
RP11-384O8.1	28.576120627397962
AC006116.20	28.550466473106017
HOXA3	28.536193711222747
DUSP9	28.49713028856351
PIGA	28.485980327535454
RAET1L	28.477247042433145
NOTUM	28.463026688515953
SCPEP1	28.456535240315368
TPST1	28.454192395581927
RP11-408B11.2	28.441081457020207
COLEC11	28.43870762564982
ANXA2P2	28.437522112713772
LINC01206	28.416619273867656
FAM212A	28.40939150064032
SH3RF2	28.405936617409633
MUC21	28.378928907549824
LRIG3	28.374945532018447
KRT17	28.35528483901664
C3ORF58	28.35450494740936
BLACAT1	28.34607083455931
RP11-35N6.1	28.344866726844664
ABCA9-AS1	28.33893814508293
CPNE8	28.337687773991902
CPNE2	28.330894593904194
KRT34	28.319632224912567
CXCL17	28.3167997372278
RP11-76C10.5	28.302229422054864
MAOA	28.283404962089566
AQP4	28.26839469584015
CDCA7	28.257780443124094
CYP4F3	28.24341332329148
TMBIM1	28.236352026873202
RP11-557H15.3	28.215815628575566
PELI1	28.21528155497605
BMP7	28.18709183704721
REEP4	28.18338917087955
AC061992.2	28.16891073261874
UGT1A7	28.167063465866345
FAM150A	28.160543964075213
PGK1	28.146356192877604
CDC25B	28.107641999428115
GOLIM4	28.104667664488836
GABRR1	28.098626891166546
AL133493.2	28.091389190284186
CAPN1	28.06914219930278
AF131217.1	28.057798000946356
RP11-69L16.6	28.045086658701628
SMURF1	28.03041801914825
RHCG	28.0245401644072
AC093818.1	27.98673418218422
CBR1	27.97979983136577
SPRR2G	27.954061949976193
TREM1	27.942570056631812
CD40	27.93520687525856
SLC47A2	27.932051342755898
CEACAM4	27.914332735481814
RPS2P32	27.91086947504766
RPS6KA3	27.890988064717597
TM4SF19	27.877904466998555
EML4	27.871759181284364
C11ORF71	27.863873107695234
